StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consentement,Timer Video 1_First Click,Timer Video 1_Last Click,Timer Video 1_Page Submit,Timer Video 1_Click Count,vérité initiale 1 L,Conf. initiale 1_1,"Vérité post 1 (t,NH)","Conf. post 1 (t,NH) _1","influence 1 (t,NH) ","QO 1 (t,NH)",Timer Video 2_First Click,Timer Video 2_Last Click,Timer Video 2_Page Submit,Timer Video 2_Click Count,Vérité initale 2 L,Conf. initiale 2_1,"Vérité post 2 (t,H) ","Conf. post 2 (t,H) _1","influence 2 (t,H)","QO 2 (t,H)",Timer Video 3_First Click,Timer Video 3_Last Click,Timer Video 3_Page Submit,Timer Video 3_Click Count,Verite initiale 3 L,Conf. initiale 3_1,"verite post 3 (t,NH ","conf. post 3 (t,NH)_1","influence 3 (t,NH)","QO 3 (t,NH)",Timer Video 4_First Click,Timer Video 4_Last Click,Timer Video 4_Page Submit,Timer Video 4_Click Count,verite initiale 4 L,conf initale 4_1,"verite post 4 (t,H) ","conf. post 4 (t,H) _1","influence 4 (t,H)","QO 4 (t,H)",Timer Video 5_First Click,Timer Video 5_Last Click,Timer Video 5_Page Submit,Timer Video 5_Click Count,verite initiale 5 T,conf. initiale 5_1,"verite post 5 (t,NH","conf. post 5 (t,NH) _1","influence 5 (t,NH) ","QO 5 (t,NH) ",Timer Video 6_First Click,Timer Video 6_Last Click,Timer Video 6_Page Submit,Timer Video 6_Click Count,verite initiale 6 L,conf. initiale 6_1,"verite post 6 (t,H) ","conf. post 6 (t,H)_1","influence 6 (t,H)","QO 6 (t,H)",Timer video 7_First Click,Timer video 7_Last Click,Timer video 7_Page Submit,Timer video 7_Click Count,verite initiale 7 T,conf. initiale 7 _1,"verite post 7 (t,NH ","conf. post 7 (t,NH) _1","influence 7 (t,NH)","QO 7 (t,NH)",Timer Video 8_First Click,Timer Video 8_Last Click,Timer Video 8_Page Submit,Timer Video 8_Click Count,verite initiale 8 L,conf. initiale 8 _1,"verite post 8 (t,H) ","conf. post 8 (t,H)_1","influence 8 (t,H) ","QO 8 (t,H) ",Timer Video 9_First Click,Timer Video 9_Last Click,Timer Video 9_Page Submit,Timer Video 9_Click Count,verite initiale 9 T,conf. initiale 9_1,"verite post 9 (t,NH ","conf. post 9 (t,NH)_1","influence 9 (t,NH)","QO 9 (t,NH) ",Timer Video 10_First Click,Timer Video 10_Last Click,Timer Video 10_Page Submit,Timer Video 10_Click Count,verite initiale 10T ,conf. initiale 10  _1,"verite post 10 (t,H ","conf. post 10 (t,H)_1","influence 10 (t,H)","QO 10 (t,H) ","verite post 1 (a,NH ","conf. post 1 (a,NH)_1","influence 1 (a,NH)","QO 1 (a,NH) ","verite post 2 (a,H)","conf. post 2 (a,H)_1","influence 2 (a,H) ","QO 2 (a,H)","verite post 3 (a,NH ","conf. post 3 (a,NH)_1","influence 3 (a,NH)","QO 3 (a,NH)","verite post 4 (a,H)","conf. post 4 (a,H)_1","influence 4 (a,H) ","QO 4 (a,H)","verite post 5 (a,NH)","conf. post 5 (a,NH) _1","influence 5 (a,NH)","QO 5 (a,NH) ","verite post 6 (a,H)","conf. post 6 (a,H)_1","influence 6 (a,H)","QO 6 (a,H)","verite post 7 (a,NH ","conf. post 7 (a,NH) _1","influence 7 (a,NH) ","QO 7 (a,NH)","verite post 8 (a,H)","conf. post 8 (a,H)_1","influence 8 (a,H)","QO 8 (a,H) ","verite post 9 (a,NH)","conf. post 9 (a,NH)_1","influence 9 (a,NH)","QO 9 (a,NH) ","verite post 10 (a,H ","conf. post 10 (a,H)_1","influence 10 (a,H)","QO 10 (a,H)",Age,Gender,Education,Education,Origins,Q17,Q18,Q19,Q20,Q21,id,Source
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Votre participation à cette étude est entièrement volontaire et anonyme. Vous pouvez interrompre votre participation à tout moment, sans justification ni conséquence. Toutes les données collectées seront strictement anonymisées et utilisées exclusivement à des fins de recherche.

En cochant la case ci-dessous, vous attestez avoir pris connaissance des objectifs de l’étude, acceptez d'y participer librement et consentez à l’utilisation de vos réponses dans le cadre de cette recherche.",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Timing - Premier clic,Timing - Dernier clic,Timing - Envoi de page,Timing - Nombre de clics,Est-ce que la personne dit la vérité ?,À quel point êtes-vous sûr(e) de votre réponse ? - Confiance,"Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?","Après avoir reçu ce feedback, pensez-vous que la personne dit la vérité ?","Après avoir reçu ce feedback, à quel point êtes-vous sûr(e) de votre réponse ? - Confiance",Le feedback a-t-il influencé votre réponse ?,"Si oui, qu'est-ce qui a changé votre opinion ?",Quel est votre âge ?,À quel genre vous identifiez-vous ?,Quel est votre niveau d'éducation le plus élevé ?,Quel est/était votre domaine d'étude / professionnel ?,Quel est votre pays d'origine ?,"En général, à quelle fréquence utilisez-vous des outils basés sur l'intelligence artificielle (ChatGPT, etc) ?",Dans quelle mesure comprenez-vous le fonctionnement interne de ces outils ?,Lesquelles de ces technologies utilisent de l'intelligence artificielle ?,Avez-vous étudié ou acquis de l'expérience technique en intelligence artificielle ?,Dans quelle mesure faites-vous confiance aux réponses fournies par une intelligence artificielle ?,id,Source
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID264_FIRST_CLICK""}","{""ImportId"":""QID264_LAST_CLICK""}","{""ImportId"":""QID264_PAGE_SUBMIT""}","{""ImportId"":""QID264_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID266_FIRST_CLICK""}","{""ImportId"":""QID266_LAST_CLICK""}","{""ImportId"":""QID266_PAGE_SUBMIT""}","{""ImportId"":""QID266_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID267_FIRST_CLICK""}","{""ImportId"":""QID267_LAST_CLICK""}","{""ImportId"":""QID267_PAGE_SUBMIT""}","{""ImportId"":""QID267_CLICK_COUNT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126_TEXT""}","{""ImportId"":""QID268_FIRST_CLICK""}","{""ImportId"":""QID268_LAST_CLICK""}","{""ImportId"":""QID268_PAGE_SUBMIT""}","{""ImportId"":""QID268_CLICK_COUNT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID269_FIRST_CLICK""}","{""ImportId"":""QID269_LAST_CLICK""}","{""ImportId"":""QID269_PAGE_SUBMIT""}","{""ImportId"":""QID269_CLICK_COUNT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID270_FIRST_CLICK""}","{""ImportId"":""QID270_LAST_CLICK""}","{""ImportId"":""QID270_PAGE_SUBMIT""}","{""ImportId"":""QID270_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID271_FIRST_CLICK""}","{""ImportId"":""QID271_LAST_CLICK""}","{""ImportId"":""QID271_PAGE_SUBMIT""}","{""ImportId"":""QID271_CLICK_COUNT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141_TEXT""}","{""ImportId"":""QID272_FIRST_CLICK""}","{""ImportId"":""QID272_LAST_CLICK""}","{""ImportId"":""QID272_PAGE_SUBMIT""}","{""ImportId"":""QID272_CLICK_COUNT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID273_FIRST_CLICK""}","{""ImportId"":""QID273_LAST_CLICK""}","{""ImportId"":""QID273_PAGE_SUBMIT""}","{""ImportId"":""QID273_CLICK_COUNT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149_1""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151_TEXT""}","{""ImportId"":""QID274_FIRST_CLICK""}","{""ImportId"":""QID274_LAST_CLICK""}","{""ImportId"":""QID274_PAGE_SUBMIT""}","{""ImportId"":""QID274_CLICK_COUNT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201_1""}","{""ImportId"":""QID202""}","{""ImportId"":""QID250_TEXT""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID166""}","{""ImportId"":""QID241_TEXT""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213_1""}","{""ImportId"":""QID214""}","{""ImportId"":""QID253_TEXT""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID222""}","{""ImportId"":""QID254_TEXT""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169_1""}","{""ImportId"":""QID170""}","{""ImportId"":""QID242_TEXT""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177_1""}","{""ImportId"":""QID178""}","{""ImportId"":""QID244_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID225_1""}","{""ImportId"":""QID226""}","{""ImportId"":""QID255_TEXT""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189_1""}","{""ImportId"":""QID190""}","{""ImportId"":""QID247_TEXT""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233_1""}","{""ImportId"":""QID234""}","{""ImportId"":""QID257_TEXT""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197_1""}","{""ImportId"":""QID198""}","{""ImportId"":""QID249_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""id""}","{""ImportId"":""Source""}"
2025-03-04 13:08:42,2025-03-04 13:15:49,1,,100,427,1,2025-03-04 13:15:50,R_8KoMYiS7pLDRnTb,,,,,46.2075,6.1173,preview,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-12 02:34:38,2025-03-12 02:35:28,1,,100,50,1,2025-03-12 02:35:28,R_8htFlTMqyNsXx6x,,,,,46.5163,6.5802,preview,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13 10:59:26,2025-03-13 11:03:14,1,,100,228,1,2025-03-13 11:03:15,R_89aiCGR6g3QzEOd,,,,,46.5163,6.5802,preview,FR,1,,,,,1,10,1,17,1,,,,,,1,32,1,19,1,,,,,,1,38,1,25,1,,,,,,1,40,1,23,1,,,,,,1,47,1,41,1,,,,,,1,57,1,29,1,,,,,,1,47,1,53,1,,,,,,1,43,1,30,1,,,,,,1,43,1,51,1,,,,,,1,59,1,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,gegvr,bgrsbs,2,1,2,3,1,,
2025-03-14 01:09:01,2025-03-14 01:09:26,0,185.12.130.88,76,24,0,2025-03-14 01:12:01,R_2qBCQkuA3CFDdud,,,,,47.3779,8.5236,anonymous,FR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
